35,10,12,48,20120915,9:30
35,10,12,48,20121020,9:30
35,10,12,48,20121117,9:30
9,5,12,4,20120707,9:30
9,5,12,4,20120708,9:30
9,5,12,4,20120714,9:30
9,5,12,4,20120715,9:30
9,5,12,4,20120721,9:30
9,5,12,4,20120722,9:30
9,5,12,4,20120728,9:30
9,5,12,4,20120729,9:30
9,5,12,4,20120804,9:30
9,5,12,4,20120805,9:30
9,5,12,4,20120811,9:30
9,5,12,4,20120812,9:30
9,5,12,4,20120818,9:30
9,5,12,4,20120819,9:30
9,5,12,4,20120825,9:30
9,5,12,4,20120826,9:30
9,5,12,4,20120901,9:30
9,5,12,4,20120902,9:30
9,5,12,4,20120908,9:30
9,5,12,4,20120909,9:30
9,5,12,4,20120915,9:30
9,5,12,4,20120916,9:30
9,5,12,4,20120922,9:30
9,5,12,4,20120923,9:30
9,5,12,4,20120929,9:30
9,5,12,4,20120930,9:30
9,5,12,4,20121006,9:30
9,5,12,4,20121007,9:30
9,5,12,4,20121013,9:30
9,5,12,4,20121014,9:30
9,5,12,4,20121020,9:30
9,5,12,4,20121021,9:30
9,5,12,4,20121027,9:30
9,5,12,6,20120710,9:30
9,5,12,6,20120717,9:30
9,5,12,6,20120718,9:30
9,5,12,6,20120730,9:30
9,5,12,6,20120731,9:30
9,5,12,6,20120807,9:30
9,5,12,6,20120814,9:30
9,5,12,6,20120808,9:30
9,5,12,6,20120710,9:30
9,5,12,6,20120717,9:30
9,5,12,6,20120731,9:30
9,5,12,6,20120807,9:30
9,5,12,6,20120718,9:30
9,5,12,6,20120814,9:30
9,5,12,6,20120814,9:30
9,5,12,6,20120807,9:30
9,5,12,6,20120731,9:30
9,5,12,6,20120724,9:30
9,5,12,6,20120717,9:30
9,5,12,6,20120710,9:30
9,5,12,6,20120902,9:30
9,5,12,6,20121007,9:30
9,5,12,6,20121104,9:30
9,5,3,3,20120908,2:00
9,5,12,6,20120909,9:30
9,5,12,6,20121014,9:30
9,5,12,6,20121111,9:30
9,5,12,6,20120916,9:30
35,5,12,6,20121021,9:30
35,5,12,6,20121118,9:30
35,5,12,6,20120929,9:30
33,5,12,6,20121027,9:30
33,5,12,6,20121124,9:30
33,,12,48,20120929,9:30
33,,12,48,20121027,9:30
33,,12,48,20121124,9:30
33,8,12,4,20120901,9:30
33,8,12,4,20120902,9:30
33,8,12,4,20120908,9:30
33,8,12,4,20120909,9:30
33,8,12,4,20120915,9:30
33,8,12,4,20120916,9:30
33,8,12,4,20120922,9:30
33,8,12,4,20120923,9:30
33,8,12,4,20120929,9:30
33,8,12,4,20120930,9:30
33,8,12,4,20121006,9:30
33,8,12,4,20121007,9:30
33,8,12,4,20121013,9:30
41,8,12,4,20121014,9:30
41,8,12,4,20121020,9:30
41,8,12,4,20121021,9:30
41,8,12,4,20121027,9:30
41,8,12,4,20121028,9:30
41,8,12,4,20121103,9:30
41,8,12,4,20121104,9:30
41,8,12,4,20121110,9:30
41,8,12,4,20121111,9:30
41,8,12,4,20121117,9:30
41,8,12,4,20121118,9:30
42,8,12,4,20121124,9:30
42,8,12,4,20121125,9:30
42,8,12,4,20121201,9:30
42,8,12,6,20120710,9:30
42,8,12,6,20120717,9:30
42,8,12,6,20120724,9:30
42,8,12,6,20120731,9:30
42,8,12,6,20120807,9:30
42,8,12,6,20120814,9:30
42,8,12,6,20120821,9:30
42,8,12,6,20120903,9:30
37,8,12,6,20121008,9:30
37,8,12,6,20121123,9:30
37,8,12,6,20120710,9:30
37,8,12,6,20120717,9:30
37,8,12,6,20120724,9:30
37,8,12,6,20120814,9:30
40,8,12,6,20120903,9:30
40,8,12,6,20120710,9:30
40,8,12,6,20120717,9:30
40,8,12,6,20120724,9:30
40,8,12,6,20120814,9:30
40,8,12,6,20120903,9:30
40,8,12,6,20120902,9:30
40,8,12,6,20121007,9:30
40,8,12,6,20121104,9:30
40,8,12,6,20120819,9:30
40,8,12,6,20120902,9:30
40,8,12,6,20120916,9:30
40,8,12,6,20120930,9:30
40,8,12,6,20121014,9:30
40,8,12,6,20121028,9:30
40,8,12,6,20121111,9:30
39,8,12,6,20121125,9:30
39,8,3,3,20120908,2:00
39,8,12,6,20120909,9:30
36,8,12,6,20121014,9:30
36,8,12,6,20121111,9:30
36,8,12,6,20120916,9:30
36,8,12,6,20121021,9:30
36,8,12,6,20121118,9:30
36,8,12,6,20120916,9:30
48,8,12,6,20121021,9:30
48,8,12,6,20121118,9:30
48,8,12,6,20120916,9:30
48,8,12,6,20121021,9:30
48,8,12,6,20121118,9:30
48,8,12,6,20120929,9:30
48,8,12,6,20121027,9:30
48,8,12,6,20121124,9:30
48,11,12,6,20120819,9:30
48,11,12,6,20120902,9:30
48,11,12,6,20120916,9:30
48,11,12,6,20120930,9:30
38,11,12,6,20121014,9:30
38,11,12,6,20121028,9:30
38,11,12,6,20121111,9:30
38,11,12,6,20121125,9:30
38,6,12,4,20120922,9:30
38,6,3,3,20120908,2:00
